,Unnamed: 0,Time,Area,cell_number
735,735,735,2100,cell_1
736,736,736,2080,cell_1
737,737,737,2075,cell_1
738,738,738,2086,cell_1
739,739,739,2084,cell_1
740,740,740,2090,cell_1
741,741,741,2080,cell_1
742,742,742,2070,cell_1
743,743,743,2073,cell_1
744,744,744,2082,cell_1
745,745,745,2091,cell_1
746,746,746,2095,cell_1
747,747,747,2093,cell_1
748,748,748,2083,cell_1
749,749,749,2092,cell_1
750,750,750,2089,cell_1
751,751,751,2084,cell_1
752,752,752,2077,cell_1
753,753,753,2075,cell_1
754,754,754,2088,cell_1
755,755,755,2064,cell_1
756,756,756,2083,cell_1
757,757,757,2085,cell_1
758,758,758,2076,cell_1
759,759,759,2090,cell_1
760,760,760,2096,cell_1
761,761,761,2084,cell_1
762,762,762,2088,cell_1
763,763,763,2078,cell_1
764,764,764,2081,cell_1
765,765,765,2076,cell_1
766,766,766,2093,cell_1
767,767,767,2074,cell_1
768,768,768,2085,cell_1
769,769,769,2097,cell_1
770,770,770,2096,cell_1
771,771,771,2078,cell_1
772,772,772,2097,cell_1
773,773,773,2063,cell_1
774,774,774,2093,cell_1
775,775,775,2090,cell_1
776,776,776,2057,cell_1
777,777,777,2065,cell_1
778,778,778,2096,cell_1
779,779,779,2086,cell_1
780,780,780,2082,cell_1
781,781,781,2058,cell_1
782,782,782,2059,cell_1
783,783,783,2089,cell_1
784,784,784,2087,cell_1
785,785,785,2089,cell_1
786,786,786,2093,cell_1
787,787,787,2086,cell_1
788,788,788,2084,cell_1
789,789,789,2071,cell_1
790,790,790,2080,cell_1
791,791,791,2075,cell_1
792,792,792,2075,cell_1
793,793,793,2088,cell_1
794,794,794,2092,cell_1
795,795,795,2096,cell_1
796,796,796,2088,cell_1
797,797,797,2083,cell_1
798,798,798,2083,cell_1
799,799,799,2092,cell_1
800,800,800,2079,cell_1
801,801,801,2084,cell_1
802,802,802,2104,cell_1
803,803,803,2103,cell_1
804,804,804,2096,cell_1
805,805,805,2058,cell_1
806,806,806,2088,cell_1
807,807,807,2075,cell_1
808,808,808,2089,cell_1
809,809,809,2102,cell_1
810,810,810,2086,cell_1
811,811,811,2074,cell_1
812,812,812,2089,cell_1
813,813,813,2079,cell_1
814,814,814,2085,cell_1
815,815,815,2084,cell_1
816,816,816,2073,cell_1
817,817,817,2071,cell_1
818,818,818,2062,cell_1
819,819,819,2083,cell_1
820,820,820,2078,cell_1
821,821,821,2052,cell_1
822,822,822,2065,cell_1
823,823,823,2096,cell_1
824,824,824,2097,cell_1
825,825,825,2081,cell_1
826,826,826,2094,cell_1
827,827,827,2080,cell_1
828,828,828,2094,cell_1
829,829,829,2095,cell_1
830,830,830,2072,cell_1
831,831,831,2081,cell_1
832,832,832,2080,cell_1
833,833,833,2082,cell_1
834,834,834,2088,cell_1
835,835,835,2091,cell_1
836,836,836,2066,cell_1
837,837,837,2073,cell_1
838,838,838,2099,cell_1
839,839,839,2087,cell_1
840,840,840,2102,cell_1
841,841,841,2081,cell_1
842,842,842,2094,cell_1
843,843,843,2077,cell_1
844,844,844,2063,cell_1
845,845,845,2099,cell_1
846,846,846,2077,cell_1
847,847,847,2088,cell_1
848,848,848,2083,cell_1
849,849,849,2093,cell_1
850,850,850,2087,cell_1
851,851,851,2055,cell_1
852,852,852,2060,cell_1
853,853,853,2093,cell_1
854,854,854,2082,cell_1
855,855,855,2072,cell_1
856,856,856,2073,cell_1
857,857,857,2062,cell_1
858,858,858,2084,cell_1
859,859,859,2099,cell_1
860,860,860,2090,cell_1
861,861,861,2089,cell_1
862,862,862,2084,cell_1
863,863,863,2050,cell_1
864,864,864,2072,cell_1
865,865,865,2091,cell_1
866,866,866,2076,cell_1
867,867,867,2065,cell_1
868,868,868,2069,cell_1
869,869,869,2065,cell_1
870,870,870,2096,cell_1
871,871,871,2057,cell_1
872,872,872,2070,cell_1
873,873,873,2067,cell_1
874,874,874,2050,cell_1
875,875,875,2095,cell_1
876,876,876,2061,cell_1
877,877,877,2092,cell_1
878,878,878,2065,cell_1
879,879,879,2074,cell_1
880,880,880,2065,cell_1
881,881,881,2087,cell_1
882,882,882,2058,cell_1
883,883,883,2052,cell_1
884,884,884,2092,cell_1
885,885,885,2092,cell_1
886,886,886,2089,cell_1
887,887,887,2070,cell_1
888,888,888,2079,cell_1
889,889,889,2088,cell_1
890,890,890,2098,cell_1
891,891,891,2069,cell_1
892,892,892,2057,cell_1
893,893,893,2072,cell_1
894,894,894,2086,cell_1
895,895,895,2083,cell_1
896,896,896,2083,cell_1
